Code,Name,Market,recommendationKey,sharesOutstanding,averageVolume10days,averageVolume,heldPercentInstitutions,shortRatio,sharesPercentSharesOut,marketCap,currentPrice,fiftyDayAverage,twoHundredDayAverage,fiftyTwoWeekHigh,fiftyTwoWeekLow,SandP52WeekChange,52WeekChange,ytdReturn,fiveYearAverageReturn,beta,totalRevenue,grossProfits,revenuePerShare,ebitdaMargins,debtToEquity,operatingCashflow,freeCashflow,totalCashPerShare,currentRatio,quickRatio,returnOnAssets,returnOnEquity,grossMargins,operatingMargins,profitMargins,totalCash,totalDebt,priceToBook,enterpriseValue,enterpriseToRevenue,enterpriseToEbitda,trailingEps,priceToSalesTrailing12Months,trailingPE,dividendYield,dividendRate,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,revenueQuarterlyGrowth,heldPercentInsiders,BPS,목표주가,추정EPS,추정PER,ROE,동종업계ROE,동종업계enterpriseToEbitda,동종업계dividendYield,동종업계trailingEps,동종업계trailingPE,5년평균dividendYield,EBITDAPS,동종업계_대비_PER,dividend,growth,value,business,finance,performance,volitality
271940,일진하이솔루스,KOSPI,4.0,36313200.0,67546.0,89928.0,0.03241,11.41,0.0001213332892722,973409026048.0,25450.0,29613.0,31002.5,46000.0,0.0,0.061902404,-33.156496000000004,-15.58,-30.405,1.61,1091.0,28.0,3301.487,0.07226,8.833809977756593,57.0,-9820920832.0,377.2732780366368,14.608,13.672,2.05,2.27,0.19620001,0.025339998,0.07738,137.0,278.0,3.44,647899250688.0,5.416,131.97,194,8.136479,129.9,0.0,0,-7.306711979609176,-22.22222222222222,220.00000000000003,74.12587412587412,0.70824,8667,44500,209,122.0,2.27,6.82,7.88,2.74,7323.79,9.26,0.0,226.0,120.64,E,B,C,B,F,D,E
280360,롯데웰푸드,KOSPI,4.0,8841270.0,7206.0,12902.0,0.07779,17.88,0.0001861723485426,929331085312.0,102900.0,102144.0,113429.5,139000.0,0.0,0.061902404,-20.403224,-19.43,-6.478,0.3,32033.0,1124.0,443650.2,0.07946,94.41182042053418,937.0,-339938312192.0,36012.925744830776,1.653,0.936,1.3,2.89,0.26469,0.03288,0.01402,3184.0,19936.0,0.56,1858709749760.0,0.508,7.97,6160,0.25411886,16.02,2.33,2300,49.31015195301576,20.9366391184573,-100.0,89.71925662317122,0.70164,228909,138750,9219,11.2,2.89,7.65,7.19,1.63,7726.94,12.42,1.302,33546.0,3.6,D,A-,C,C,G,D,E
001800,오리온홀딩스,KOSPI,4.0,60156700.0,74442.0,62428.0,0.13452,2.36,1.9515698168283832e-05,902350503936.0,15000.0,14704.2,15415.25,17440.0,0.0,0.061902404,-2.5165558,-4.1,-1.7560000000000002,0.6,29346.0,3998.0,49034.465,0.22538,23.689696969696968,5301.0,373546876928.0,10485.947533691176,2.781,2.184,6.43,4.83,0.37348,0.13344,0.03506,6308.0,9772.0,0.44,2054156582912.0,0.696,4.33,1712,0.30590752,8.6,4.76,700,21.51049645977392,43.63071460275189,3.82262996941896,2.284072001210105,0.63847,35982,21000,1756,8.5,4.83,8.42,3.05,4.32,4652.33,5.53,4.202,10768.0,3.0699999999999994,B,C,C,B,F,D,E
003240,태광산업,KOSPI,관련 데이터가 없습니다.,841631.0,708.0,928.0,0.08663999,5.62,2.37633832403987e-05,512553287680.0,609000.0,624620.0,702005.0,891000.0,0.0,0.061902404,-31.531530000000004,-18.5,-12.18,0.63,27039.0,-1221.0,3039921.2,-0.04366,16.688055515946576,-1463.0,-159379685376.0,567350.774864519,4.561,3.919,6.96,8.52,0.01469,-0.06697,0.13098,4775.0,7022.0,0.19,-617227223040.0,-0.241,9338922516033.766,406090,0.20033415,1.5,0.29,1750,4.325179411991666,7.949526813880126,-15.06172839506173,-19.80913428766189,0.54527,4906107,관련 데이터가 없습니다.,관련 데이터가 없습니다.,관련 데이터가 없습니다.,8.52,8.02,7.44,2.25,9097.35,11.99,0.194,-55625.0,-10.49,E,C,D,B,F,C,E
004490,세방전지,KOSPI,관련 데이터가 없습니다.,13130400.0,71824.0,90048.0,0.1539,6.29,0.0003157558033266,636824387584.0,48500.0,48145.0,48655.75,61500.0,0.0,0.061902404,-12.5,14.05,13.698,1.47,14731.0,811.0,112696.92,0.08534,34.59069020866774,613.0,2538704384.0,9893.072564430631,2.236,1.438,2.54,3.58,0.13724,0.0499,0.02772,1299.0,4310.0,0.48,506879803392.0,0.339,4.77,3222,0.42607465,14.99,1.24,600,8.957100591715976,-49.88262910798122,-6.8181818181818175,6.032547699214367,0.56698,91306,관련 데이터가 없습니다.,관련 데이터가 없습니다.,관련 데이터가 없습니다.,3.58,12.95,5.49,1.74,27936.99,9.59,1.134,9375.0,5.4,D,C,C,B,G,D,C
005250,녹십자홀딩스,KOSPI,관련 데이터가 없습니다.,44934200.0,75126.0,64488.0,0.12958999,0.76,3.015520472157065e-05,708511531008.0,14800.0,14261.4,15998.45,20850.0,0.0,0.061902404,-28.03874,-12.59,-1.876,1.2,20796.0,712.0,44392.336,0.03827,82.6131164209456,972.0,-126598889472.0,4642.343693667629,1.127,0.59,1.66,3.18,0.31886998,-0.0028799998,0.00453,2086.0,16250.0,0.8,1899730960384.0,0.943,17.39,727,0.35153332,20.44,2.02,300,12.984896229490383,-53.876272513704,-452.77777777777777,-12.75875796178344,0.49823,23095,관련 데이터가 없습니다.,관련 데이터가 없습니다.,관련 데이터가 없습니다.,3.18,5.75,10.61,0.93,7358.71,26.73,1.378,3024.0,-6.289999999999999,D,C,C,C,H,D,E
294870,HDC현대산업개발,KOSPI,4.0,64178800.0,182189.0,219421.0,0.12625,6.39,0.0001178893964985,657190944768.0,10240.0,11247.4,11143.5,13500.0,0.0,0.061902404,-22.36641,1.7,-20.786,1.18,32983.0,1164.0,55970.277,0.084910005,152.81367379992415,-17351.0,-320036044800.0,8792.623109188704,1.512,0.635,0.72,1.75,0.12104999,0.07068,0.045149997,5643.0,44345.0,0.23,2243510403072.0,0.608,7.64,764,0.17822069,13.31,5.9,600,-1.9501174232289904,-71.52580828133863,-153.43915343915344,56.75951582324632,0.4301,43919,15000,1614,6.3,1.75,6.96,5.83,2.79,2065.28,6.59,2.8280000000000003,2466.0,6.720000000000001,C,C,C,B,H,D,D
105630,한세실업,KOSPI,4.0,39382800.0,187380.0,212284.0,0.15254,4.51,7.155407944584946e-05,789625110528.0,20050.0,18373.0,16792.4,21900.0,0.0,0.061902404,11.953354,24.68,1.716,1.22,22048.0,1796.0,51844.953,0.09861,130.7205362129957,1967.0,210307317760.0,4395.319784271306,1.258,0.394,6.98,17.1,0.15619999,0.08184,0.03847,1731.0,7021.0,1.11,1030185418752.0,0.506,4.3,2182,0.38814265,8.8,2.6,500,31.86602870813397,27.19167904903417,19.59183673469388,-29.54471012119227,0.57341,13687,25083,2634,7.6,17.1,13.18,6.43,1.71,6809.81,9.03,2.71,5311.0,-0.2299999999999986,C,C,C,B,H,D,D
192080,더블유게임즈,KOSPI,4.0,16525700.0,30851.0,32473.0,0.14389,5.35,0.0002629843213903,708126244864.0,42850.0,42195.0,45704.25,51200.0,0.0,0.061902404,6.1804652,-9.1,-2.6375,1.05,6173.0,1839.0,36439.547,0.32162,22.786445394017687,1188.0,225665187840.0,18316.924547825507,3.034,2.986,-16.89,-16.82,1.0,0.30567,-0.19404,3027.0,2293.0,1.09,505239896064.0,0.825,5.84,-7196,1.1557848,0.0,1.4,600,-1.0895689793302357,-241.45873320537427,50.0,-3.068712474983322,0.43976003,43874,64286,7074,6.1,-16.82,5.75,10.61,0.93,7358.71,26.73,0.8699999999999999,10678.0,-26.73,E,C,E,C,F,D,D
031430,신세계인터내셔날,KOSPI,4.0,35700000.0,69540.0,112969.0,0.13874,18.01,0.0002467787114845,649026011136.0,18180.0,17261.8,21530.3,31300.0,0.0,0.061902404,-45.115513,-32.81,-14.248,1.21,15539.0,1153.0,42406.074,0.099130005,53.37651433369317,1100.0,7671094272.0,1366.9467787114845,1.621,0.578,9.75,15.29,0.61154,0.06106,0.06631,488.0,4450.0,1.06,791906156544.0,0.523,6.19,3313,0.4287122,5.02,3.01,500,7.106424041907913,43.82566585956417,-66.7910447761194,-11.357183418512207,0.60902,23264,24813,2003,9.1,15.29,6.36,7.09,2.41,6625.56,10.13,0.934,4835.0,-5.110000000000001,E,C,D,B,H,D,E
001680,대상,KOSPI,4.0,34648000.0,82095.0,124149.0,0.20549,9.49,0.0001531112906949,619159748608.0,17870.0,17680.0,19755.35,24150.0,0.0,0.061902404,-25.665963,-19.73,-6.282000000000001,0.64,40841.0,1400.0,113468.9,0.06236,141.20671404808712,-909.0,-28185229312.0,16133.687370122374,1.852,1.145,2.71,6.57,0.23517999,0.03063,0.01646,5590.0,18676.0,0.61,1304426053632.0,0.319,5.78,2306,0.15149674,7.62,4.55,800,17.697406340057636,-43.310344827586206,-53.125,0.2837454398054317,0.44265,37616,23333,1874,9.5,6.57,7.65,7.19,1.63,7726.94,12.42,2.912,7423.0,-4.8,C,C,D,C,G,D,E
003850,보령,KOSPI,4.0,65865700.0,304303.0,175936.0,0.036,2.88,0.0002469722480744,605305765888.0,9190.0,8354.6,9217.7,12950.0,0.0,0.061902404,-18.660712,0.55,9.521999999999998,0.93,7605.0,566.0,11926.581,0.121070005,72.81177381874517,278.0,-102939648000.0,244.43678576254408,1.573,0.88,4.87,8.47,0.39474,0.07078,0.053540003,161.0,3760.0,1.15,796658106368.0,1.014,8.62,636,0.7704235,14.32,1.1,100,21.233859397417504,-2.784222737819025,1.7857142857142856,14.109742441209406,0.5548,7833,13000,613,15.0,8.47,8.16,28.47,0.26,6242.01,48.89,0.692,1372.0,-34.57,E,C,E,B,H,D,C
013890,지누스,KOSPI,4.0,18345300.0,56730.0,46906.0,0.17709999,15.61,0.0001914931889911,533848227840.0,29100.0,27045.0,30910.637,44545.453,0.0,0.061902404,-39.246863,-24.57,-20.442500000000003,1.36,11596.0,656.0,60615.234,0.08247,78.04215905461514,-185.0,-54951100416.0,7200.7544166625785,1.716,0.947,2.75,5.32,0.29626,0.041490003,0.0147,1321.0,4887.0,1.02,615044218880.0,0.56,7.93,1658,0.4862336,15.92,2.01,530,3.1856202171204844,-43.133462282398455,-71.12299465240642,-21.21733149931224,0.43818,34132,51000,1180,24.7,5.32,9.89,6.68,1.88,12256.92,10.91,1.185,5909.0,5.01,D,C,C,C,G,D,E
381970,케이카,KOSPI,4.0,48086500.0,135983.0,257546.0,0.11685,1.84,8.037598910297069e-05,599157768192.0,12460.0,13447.0,13181.0,23150.0,0.0,0.061902404,-43.545455,7.53,-29.3,1.24,21773.0,500.0,44447.39,0.04759,117.37184703010576,437.0,151629807616.0,289.0624187661818,1.878,0.873,5.6,11.65,0.09323,0.0235,0.01434,139.0,2885.0,2.26,719247769600.0,0.337,7.6,631,0.2803195,19.68,6.12,760,14.450168208578637,-35.04273504273504,3.75,-7.139013452914798,0.72611,5112,18200,881,14.1,11.65,6.36,7.09,2.41,6625.56,10.13,4.390000000000001,2093.0,9.55,B,C,C,C,H,D,D
057050,현대홈쇼핑,KOSPI,4.0,11447800.0,16129.0,13533.0,0.28244,8.74,0.0001262251262251,493400195072.0,43100.0,45044.0,49327.5,60000.0,0.0,0.061902404,-18.146718,-21.34,-15.196000000000002,0.71,21017.0,1106.0,182193.53,0.07402,42.03298105886557,-539.0,-96871907328.0,2367.267073149426,1.756,1.27,3.21,4.49,0.43377,0.0442,0.05994,271.0,8233.0,0.32,159787925504.0,0.077,3.68,7541,0.23656268,5.62,6.13,2600,0.3006585854729407,-15.142576204523106,88.76146788990825,-8.42748657158733,0.40825,171103,59500,11875,3.6,4.49,6.36,7.09,2.41,6625.56,10.13,3.1420000000000003,14666.0,-4.510000000000001,C,C,D,B,G,D,E
284740,쿠쿠홈시스,KOSPI,관련 데이터가 없습니다.,22422400.0,15804.0,20270.0,0.106429994,5.28,2.840909090909091e-05,519389315072.0,22300.0,23202.0,27224.0,33550.0,0.0,0.061902404,-28.821653,-23.98,-7.304000000000002,0.85,9381.0,1199.0,41923.742,0.207,27.98892524540649,276.0,81477214208.0,4004.9236477807904,1.976,1.605,11.77,17.66,0.60069,0.11585,0.122159995,898.0,2224.0,0.94,561610686464.0,0.597,3.75,5118,0.55252415,4.37,3.13,700,11.10979509652967,-12.585812356979408,-1.183431952662722,0.8920606601248885,0.7012,31261,관련 데이터가 없습니다.,관련 데이터가 없습니다.,관련 데이터가 없습니다.,17.66,5.75,10.61,0.93,7358.71,26.73,1.69,8956.0,-22.36,D,C,E,A,F,D,E
020000,한섬,KOSPI,4.0,21969600.0,120293.0,72355.0,0.28773,0.04,2.457941883329692e-06,434778374144.0,19790.0,22409.6,25115.4,29950.0,0.0,0.061902404,-34.329373000000004,-28.5,-10.384,1.12,15422.0,1683.0,70850.164,0.14328,26.053123830901608,672.0,-108256419840.0,2981.3924695943483,2.411,0.858,7.45,9.56,0.61155,0.10503,0.08018,655.0,3482.0,0.49,376363745280.0,0.242,2.94,5599,0.27931267,3.45,3.88,750,11.157560905290472,8.251121076233185,3.504672897196261,3.67816091954023,0.34645,60819,32167,4245,4.7,9.56,13.18,6.43,1.71,6809.81,9.03,1.6960000000000002,9194.0,-5.579999999999999,D,C,D,B,H,D,E
